Average Lost Customer Hours per period - all causes and all attribution parties [Network by Line],,,,,,,,,,,,,
Lost Customer Hours,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17
Metropolitan,"64,956","69,205","66,442","41,273","56,015","61,077","105,571","92,032","64,361","108,922","89,313","89,581","82,107"
Northern,"108,478","164,731","170,262","163,453","224,290","271,373","190,746","233,542","201,715","160,695","113,481","213,617","152,959"
Piccadilly,"369,849","381,049","476,064","565,276","428,843","294,653","328,262","252,532","259,385","221,165","268,769","400,170","329,577"
Victoria,"110,644","82,594","178,462","136,510","134,986","133,263","164,107","141,732","193,501","132,621","114,954","197,397","167,959"
NETWORK,"1,491,518","1,654,994","1,965,651","1,962,149","1,988,405","1,686,142","1,896,275","1,753,397","2,002,775","1,510,288","1,791,711","2,203,871","2,032,487"
Lost Customer Hours,2018/19,,,,,,,,,,,,
Bakerloo,"79,098","89,693","105,332","89,659","87,692","99,189","116,379","52,219","54,697","62,780","74,133","124,119","97,393"
Central,"255,910","294,119","534,463","397,163","381,995","232,973","832,855","860,226","277,635","173,834","306,814","501,574","676,405"
Waterloo & City,"10,029","9,310","8,002","2,942","10,523","4,355","25,909","36,143","7,132","1,470",804,"4,140","3,719"
Circle + H&C,"216,818","128,402","138,128","154,680","97,194","98,679","152,484","223,701","125,386","91,051","105,237","188,215","269,556"
District,"289,284","264,089","189,974","261,010","262,688","111,197","141,448","228,962","176,087","120,827","147,564","185,271","157,580"
Jubilee,"578,352","208,059","141,744","242,671","339,771","201,765","336,781","487,011","357,796","352,258","272,335","365,369","494,881"
Metropolitan,"100,023","48,400","96,920","70,363","90,790","51,788","70,924","97,775","129,177","32,863","72,877","140,157","95,674"
Northern,"178,674","176,048","151,862","139,542","161,666","151,962","132,598","158,534","155,725","94,368","190,485","273,983","257,050"
Piccadilly,"299,301","235,479","255,223","296,041","506,689","231,324","937,753","303,452","464,430","250,006","280,422","283,753","255,556"
Victoria,"84,008","144,929","225,118","134,335","116,727","127,001","177,697","235,227","160,719","93,678","151,304","341,964","257,086"
NETWORK,"2,091,497","1,598,528","1,846,767","1,788,406","2,055,735","1,310,233","2,924,829","2,683,250","1,908,784","1,273,135","1,601,975","2,408,545","2,564,900"
