Average Lost Customer Hours per period - all causes and all attribution parties [Network by category],,,,,,,,,,,,,
Lost Customer Hours,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17
Vandalism,"61,412","25,924","60,397","87,941","41,097","38,029","60,033","62,413","45,677","47,089","41,978","62,721","45,996"
Weather,"5,435",114,"2,399","92,547","2,067",542,"1,834",768,"8,694","21,707",444,"2,668",0
TOTAL,"4,068,427","3,632,000","3,398,354","4,495,051","3,758,561","6,355,312","3,566,168","3,521,699","3,335,743","3,114,138","3,418,314","3,535,057","2,859,022"
Lost Customer Hours,2008/09,,,,,,,,,,,,
Animals / Pests,"1,332","7,462",411,392,"5,781","1,060",0,0,0,"1,761","1,040",0,"3,005"
ATP / ATO,"6,452","18,051","4,040",888,"14,367","5,220","3,083","4,792","9,855","2,601","41,630","22,656","6,514"
Bridge Strike,17,0,138,0,"13,916",0,231,253,0,0,0,207,0
Customers & Public,"350,665","322,064","346,710","566,142","351,691","300,869","419,231","580,064","424,355","323,769","391,393","386,899","419,621"
External Properties,"8,314","2,951","1,023","12,221","1,287",377,"1,558","6,525",0,"3,931",82,"9,736","2,080"
Fleet,"798,151","732,726","827,161","704,607","960,584","652,959","773,699","737,450","722,149","418,143","498,698","629,137","589,631"
Gas / Water / Sewage,0,0,"22,612",305,0,0,100,0,0,"28,125","7,327",0,0
National Rail Operations,"12,701","20,537","25,220","21,063","38,020","14,218","14,932","19,246","14,886","14,153","10,717","26,433","10,515"
Other LU Operations,"6,415","9,447","22,992","11,417","11,221","11,980","15,435","6,350","11,591","2,919","34,824","14,224","5,937"
Power Failure,"2,857","16,784","4,150","1,613","4,367","7,546","12,019","24,559","6,790","1,918","5,823","8,786","1,766"
Safety & Security,"47,729","53,328","224,777","42,899","43,374","30,806","34,222","29,331","75,458","28,123","16,319","17,118","41,246"
Signals,"382,164","418,582","505,188","632,931","437,246","455,810","403,296","525,072","678,398","304,619","466,083","970,964","469,574"
Staff,"351,559","352,175","309,701","338,999","287,586","248,818","340,085","430,726","323,485","228,886","252,323","353,476","277,391"
Staff - Absence or Shortage,"190,518","130,121","120,082","263,177","236,061","179,697","140,971","221,204","121,645","214,354","78,503","117,647","119,274"
Staff Industrial Action,0,0,0,0,0,"2,283",0,0,0,0,0,0,0
Stations,"157,089","145,395","109,561","100,023","152,022","108,748","124,468","91,169","100,091","83,745","93,084","92,299","124,390"
Track & Civils,"222,737","205,472","414,488","139,663","148,249","454,726","375,368","380,996","385,127","199,416","389,434","355,513","533,064"
Transplant Operations,21,90,34,169,349,0,724,6,317,416,0,15,0
Other,0,0,"1,866",0,0,0,9,0,0,0,0,334,0
Vandalism,"33,069","32,576","38,594","45,908","36,559","33,091","39,156","56,852","87,951","26,119","18,128","53,670","44,468"
Weather,789,371,"11,930",0,428,"4,962",49,"4,434","12,614",13,0,"1,746,777","10,643"
TOTAL,"2,572,577","2,468,131","2,990,677","2,882,416","2,743,109","2,513,170","2,698,635","3,119,030","2,974,712","1,883,011","2,305,408","4,805,891","2,659,119"
Lost Customer Hours,2009/10,,,,,,,,,,,,
Animals / Pests,592,0,"1,447",0,0,41,286,760,101,"1,772",855,0,155
ATP / ATO,"1,841","3,841","2,740","5,896","2,504","3,380","3,225","3,193","3,575","9,530","23,446","19,235","29,730"
Bridge Strike,57,0,170,0,576,0,0,0,0,6,0,78,0
Customers & Public,"357,202","576,910","359,919","324,931","356,161","343,922","323,088","443,513","414,023","309,104","328,912","343,018","344,940"
External Properties,"5,965","1,508",0,0,"2,347","4,238",0,268,"6,831","1,171",443,267,"7,774"
Fleet,"480,695","387,788","385,662","454,659","460,278","458,225","380,253","520,464","497,155","720,193","526,392","516,237","506,751"
Gas / Water / Sewage,0,0,0,"6,572","22,831",0,"1,643",0,0,0,4,0,0
National Rail Operations,"10,463","3,950","4,268","5,149","5,120","17,846","10,187","4,279","28,673","7,046","70,026","26,139","3,055"
Other LU Operations,"1,712","8,030","5,524","7,852","30,271","9,966","5,496","5,589","23,148","43,995","15,434","16,969","12,190"
Power Failure,"5,462","3,038","19,937","10,340","1,182",529,"2,030",238,"5,472","10,314","1,744","2,800","1,359"
Safety & Security,"120,542","25,004","17,128","54,792","19,480","16,733","28,350","22,852","28,942","28,184","24,351","40,640","19,692"
Signals,"532,216","459,616","379,568","496,047","372,387","385,796","288,110","289,242","424,066","416,853","349,694","516,285","523,362"
Staff,"268,440","198,390","225,108","286,184","287,534","226,353","311,557","303,855","263,759","208,310","254,747","284,757","206,695"
Staff - Absence or Shortage,"85,028","71,934","85,015","172,733","224,085","134,786","116,024","119,413","183,594","192,180","144,153","150,351","131,098"
Staff Industrial Action,"226,600","226,060","3,698,283",0,0,0,0,0,0,0,0,0,0
Stations,"85,047","84,524","97,473","238,687","79,324","502,842","129,736","108,466","140,625","133,652","205,460","94,527","73,120"
Track & Civils,"614,411","112,300","194,479","317,904","279,532","131,555","255,014","197,767","315,841","415,414","307,136","211,541","255,204"
Transplant Operations,0,457,59,362,0,0,81,0,42,138,0,0,0
Other,0,0,0,55,46,0,26,343,0,0,0,0,0
Vandalism,"41,515","49,424","32,133","24,053","17,953","32,559","35,787","86,092","32,918","32,543","30,938","27,760","19,553"
Weather,0,0,312,0,44,0,0,"1,341","6,086","120,919","20,310","5,844",73
TOTAL,"2,837,788","2,212,773","5,509,227","2,406,216","2,161,656","2,268,772","1,890,896","2,107,675","2,374,850","2,651,324","2,304,045","2,256,448","2,134,752"
Lost Customer Hours,2010/11,,,,,,,,,,,,
Animals / Pests,"1,023",0,322,163,"4,792",0,0,"1,195",157,"4,960",590,"1,051","3,144"
ATP / ATO,"24,225","6,405","7,301","30,790","55,716","20,190","31,615","23,466","44,034","32,172","43,597","45,261","155,676"
Bridge Strike,0,713,121,18,106,62,520,0,0,1,"2,481",0,240
Customers & Public,"291,209","352,193","365,582","486,466","254,467","264,982","400,243","442,420","513,856","357,402","379,307","362,103","343,687"
External Properties,"5,331","2,845","2,444","3,134","1,402",931,135,"4,280",289,0,65,"3,287",0
Fleet,"482,479","422,505","410,527","556,119","438,830","380,864","928,665","682,283","851,849","476,664","523,095","538,332","319,941"
Gas / Water / Sewage,0,"6,771","6,373","83,194",0,0,0,0,"4,524","5,348",517,"49,736","35,402"
National Rail Operations,"2,834","3,997","3,388","192,277","13,899","12,862","27,543","15,487","71,422","98,083","32,040","27,217","12,430"
Other LU Operations,"3,735",932,"16,644","5,312","3,126","3,912","11,102","5,569","4,043","4,981","6,128","2,715","6,205"
Power Failure,"4,055","9,360","25,076","30,815","1,680","11,413","28,111","17,062","2,849","16,060","7,078","8,081","47,237"
Safety & Security,"29,730","26,148","19,395","25,114","19,988","18,774","44,305","35,134","75,536","17,858","38,081","28,329","41,143"
Signals,"485,173","265,824","392,519","494,915","269,106","277,823","452,908","507,709","364,488","759,095","1,003,695","567,535","423,019"
Staff,"289,884","231,031","346,188","264,352","258,055","361,873","351,857","449,275","281,881","349,932","252,090","306,745","265,190"
Staff - Absence or Shortage,"250,960","139,243","214,059","105,123","92,363","114,821","80,411","129,631","106,798","142,009","125,540","184,097","101,994"
Staff Industrial Action,0,0,0,"34,154","78,307","1,859,340","1,706,703","1,538,403","1,553,608","591,624","74,592",0,0
Stations,"102,341","81,650","84,193","108,887","85,755","78,574","159,614","121,065","114,062","124,856","100,625","78,828","82,348"
Track & Civils,"282,838","402,629","317,580","437,399","203,937","303,146","353,827","494,779","200,666","301,784","251,916","133,544","139,854"
Transplant Operations,0,14,0,756,"73,562",0,0,0,117,0,174,812,122
Other,0,0,0,0,0,0,0,176,0,0,0,0,0
Vandalism,"30,692","24,269","19,019","26,590","23,288","19,846","37,460","90,949","71,035","197,766","28,792","17,815","23,885"
Weather,0,667,117,"1,447",208,393,"5,118","8,016","77,061","315,791","4,088",268,"2,942"
TOTAL,"2,286,508","1,977,196","2,230,848","2,887,023","1,878,587","3,729,807","4,620,135","4,566,897","4,338,274","3,796,385","2,874,491","2,355,758","2,004,459"
Lost Customer Hours,2011/12,,,,,,,,,,,,
Animals / Pests,"5,345",227,"3,797","2,814","1,046","3,433",889,"2,091",0,0,146,"1,578",0
ATP / ATO,"26,276","23,540","13,230","9,244","12,839","6,546","16,475","39,567","7,493","12,978","6,588","14,209","19,505"
Bridge Strike,0,0,0,"1,422",35,858,"20,249",4,408,0,"1,332",0,"2,637"
Customers & Public,"351,293","380,510","387,868","384,208","387,467","409,083","340,824","475,034","476,389","320,897","346,467","397,308","334,231"
External Properties,0,"19,269",76,"13,151","12,089",213,"10,544","6,039",26,0,"5,937",0,0
Fleet,"487,856","471,084","425,257","358,944","458,688","391,703","480,305","372,853","361,064","285,858","317,461","370,986","429,605"
Gas / Water / Sewage,"16,426","2,867",0,326,0,"6,008","8,825",0,93,"11,200",747,0,0
National Rail Operations,"53,983","25,346","24,471","41,188","34,811","35,896","15,034","59,913","10,206","16,884","21,512","12,352","10,771"
Other LU Operations,"4,505","5,570","2,097","11,601","12,237","8,252","5,708","17,473","10,545","12,949","9,665","15,104","8,997"
Power Failure,"28,219","4,264","35,956","1,988","2,871",171,"16,646","5,134","37,346","25,119","1,743","7,073","1,078"
Safety & Security,"14,846","23,733","19,787","14,912","42,746","40,448","6,727","13,147","10,762","23,665","22,813","14,842","21,373"
Signals,"580,902","494,136","251,366","566,757","309,606","614,456","411,368","292,947","301,952","252,966","406,420","401,941","447,851"
Staff,"452,596","398,537","290,874","400,750","311,492","230,717","223,967","235,026","309,911","166,914","337,125","337,982","237,059"
Staff - Absence or Shortage,"197,745","168,989","188,628","201,547","289,726","358,791","351,922","261,213","246,728","183,498","260,874","322,695","202,250"
Staff Industrial Action,0,0,"14,153",0,0,0,0,0,0,"364,800",0,0,0
Stations,"109,522","133,949","85,004","119,661","70,378","139,235","105,811","84,563","82,801","157,315","98,063","96,868","69,929"
Track & Civils,"141,859","153,059","144,628","150,871","85,768","202,126","125,591","177,717","110,282","173,925","194,509","402,965","197,542"
Transplant Operations,0,0,2,0,0,0,22,458,0,0,35,0,0
Other,0,0,0,0,7,0,0,0,0,0,0,569,0
Vandalism,"37,980","17,008","42,250","21,387","22,433","14,149","13,761","11,321","21,159","20,878","14,464","12,055","14,542"
Weather,0,0,0,0,"4,958",0,434,0,"1,904","14,054","27,984","195,814",59
TOTAL,"2,509,354","2,322,089","1,929,445","2,300,769","2,059,198","2,462,085","2,155,102","2,054,499","1,989,066","2,043,901","2,073,884","2,604,341","1,997,431"
Lost Customer Hours,2012/13,,,,,,,,,,,,
Animals / Pests,0,807,505,237,0,505,"1,120",0,0,"1,872",0,465,0
ATP / ATO,"3,364","11,726","7,756","13,141","16,435","9,486","8,429","4,483","2,263","4,368","19,264","15,847","29,500"
Bridge Strike,5,16,275,327,0,87,33,32,"2,171",26,144,393,0
Customers & Public,"357,354","338,859","349,864","353,505","337,786","221,005","278,152","379,419","453,216","198,672","312,305","275,261","383,196"
External Properties,"4,435","3,925","17,009","51,215",124,"4,670","1,519",0,"15,115","1,152",275,"30,021",304
Fleet,"354,678","533,049","368,286","332,354","446,133","234,924","249,188","333,259","351,716","262,964","387,001","345,108","301,131"
Gas / Water / Sewage,726,267,"407,969",0,42,227,"3,280",0,249,"2,889","2,682",0,362
National Rail Operations,"13,273","44,643","19,512","21,789","5,625","6,675","14,056","6,260","25,519","8,804","14,685","6,415","14,672"
Other LU Operations,"5,735","21,826","7,905","10,641","10,370","2,983","4,479","2,794","8,761","8,113","13,264","5,238","5,111"
Power Failure,"11,967","12,139","10,459",866,"21,203","6,149","4,564","4,569","11,384","8,158","3,297","2,183","15,622"
Safety & Security,"14,772","23,144","21,694","10,852","20,532","26,223","15,952","15,074","12,929","20,022","25,232","9,197","22,217"
Signals,"323,267","468,607","432,810","379,148","290,942","275,642","226,792","133,186","229,450","173,550","224,929","233,584","315,016"
Staff,"308,513","304,618","241,117","239,756","193,208","128,195","191,010","211,929","230,184","162,604","241,674","206,730","246,107"
Staff - Absence or Shortage,"205,743","204,602","231,750","87,349","21,750","33,641","110,389","103,570","162,731","153,663","143,190","98,842","92,426"
Staff Industrial Action,0,0,0,0,0,0,0,0,0,"323,908","227,065","361,453","206,614"
